Period:  51-80,Fractional_count,66.00,1.97,0.96,0.86
Period:  81-00,Fractional_count,197.60,2.24,0.94,0.90
Period:  01-20,Fractional_count,337.08,2.69,0.96,0.89
Period:  51-80,Whole_count,68.42,1.95,1.00,0.86
Period:  81-00,Whole_count,172.59,2.22,0.98,0.90
Period:  01-20,Whole_count,237.62,2.38,0.95,0.90
